Cz,Fz,Fp1,F3,C1,C3,T7,C5,CP5,CP3,CP1,P1,P3,O1,CPz,Pz,Oz,O2,P4,P2,CP2,CP4,CP6,C6,T8,C4,C2,F4,Fp2,Label
3.799,-12.309,-128.342,-2.651,2.545,15.666,553.754,167.556,21.686,20.327,3.423,1.014,-2.198,9.099,-10.827,-1.413,23.064,11.185,15.477,0.8,-116.402,-2.439,-10.388,-0.092,49.255,-4.135,1.017,-39.401,-141.896,1
8.918,-5.124,-132.312,-7.772,8.178,24.36,573.692,174.048,24.226,18.77,7.518,3.062,-3.732,-4.743,-5.694,0.126,18.43,11.174,14.437,3.361,-112.187,-2.949,-8.328,-10.85,81.993,-0.544,6.139,-40.386,-138.68,1
-6.46,-27.148,-134.229,-39.527,-14.884,-7.94,605.906,141.599,-2.95,-6.864,-12.982,-10.773,-18.586,-18.57,-25.156,-16.781,3.555,-1.645,-10.68,-14.573,-127.444,-26,-31.373,-27.745,54.246,-18.987,-10.261,-64.424,-149.3,1
-1.33,-28.658,-126.923,-33.852,-13.845,-8.957,590.443,139.92,3.2,-0.71,-11.432,-8.201,-17.03,-1.646,-24.618,-15.739,8.674,2.967,-4.01,-9.436,-125.78,-18.802,-28.781,-19.009,21.917,-15.382,-7.689,-57.187,-143.003,1
17.626,-10.186,-124.747,-1.031,9.223,23.84,557.577,172.568,31.374,23.882,8.559,8.201,0.918,10.651,-5.126,0.67,19.937,15.772,15.462,8.505,-110.285,0.685,-5.698,-5.157,47.51,4.614,8.712,-41.761,-129.54,1
10.436,-14.274,-136.917,-6.153,1.017,19.205,586.734,171.371,23.146,16.173,4.965,3.07,1.941,-1.655,-12.805,-4.454,10.695,3.461,4.688,-1.75,-115.81,-7.001,-12.865,-11.3,49.512,-0.514,2.556,-54.015,-137.095,1
-4.943,-29.117,-151.125,-30.737,-17.94,-2.331,600.492,139.436,3.143,-2.798,-12.459,-12.815,-16.504,-14.973,-30.723,-18.794,-1.611,-12.936,-7.612,-16.093,-128.502,-20.826,-30.27,-25.633,22.822,-16.907,-10.767,-65.744,-162.574,1
5.82,-20.891,-141.24,-15.85,0.009,14.065,567.616,161.838,16.972,7.45,-5.274,-5.63,-14.95,-9.835,-18.909,-10.578,5.563,-2.165,4.179,-3.781,-120.689,-12.608,-20.506,-23.558,45.853,-9.718,-1.022,-60.555,-161.386,1
20.671,-7.038,-121.119,8.245,16.403,32.494,578.319,190.878,33.349,26.911,13.174,9.233,4.02,2.983,-2.497,3.265,15.803,11.157,13.908,4.932,-112.884,-1.325,-8.702,-11.752,66.812,-0.487,9.225,-58.445,-132.024,1
10.404,-17.789,-128.17,-4.571,-0.007,14.531,610.528,158.412,17.434,17.15,5.476,1.539,-3.156,-3.168,-13.765,-2.886,7.078,1.924,2.624,-5.32,-122.505,-8.496,-18.428,-13.789,34.47,-10.733,-2.055,-65.047,-134.453,1
