Cz,Fz,Fp1,F3,C1,C3,T7,C5,CP5,CP3,CP1,P1,P3,O1,CPz,Pz,Oz,O2,P4,P2,CP2,CP4,CP6,C6,T8,C4,C2,F4,Fp2,Label
-0.05,-26.657,-184.02,-68.154,44.805,-23.77,-38.313,59.61,-24.735,-26.919,-8.901,-9.766,-16.879,-0.507,-4.671,-25.4,8.605,14.237,-21.743,-15.485,21.977,-12.494,-0.015,-31.091,-150.378,-12.972,9.122,-30.464,-37.312,0
-15.932,-38.414,-207.915,-79.357,32.465,-37.578,-67.476,37.522,-35.981,-41.237,-23.749,-22.052,-29.669,-22.023,-17.474,-36.133,-2.162,1.927,-35.554,-24.691,14.783,-25.802,-15.384,-48.479,-182.503,-33.451,4.502,-47.852,-35.226,0
-4.133,-30.179,-193.362,-55.199,37.043,-21.659,-99.684,60.538,-24.162,-29.925,-12.967,-18.443,-19.906,-23.026,-8.235,-28.924,-0.111,0.901,-35.518,-21.592,18.867,-25.776,-12.807,-47.406,-190.005,-31.881,8.084,-36.533,-39.289,0
4.068,-10.168,-164.992,-30.041,52.375,-3.194,-66.796,78.408,-7.231,-11.452,3.44,-4.08,-3.492,-1.998,9.704,-18.137,8.599,16.269,-24.724,-10.812,28.069,-17.041,-2.548,-28.403,-192.889,-13.406,16.272,-14.468,-30.54,0
-12.842,-11.183,-161.753,-40.257,52.835,-9.851,-65.705,67.571,-10.81,-15.027,-1.174,-6.638,-9.124,1.078,4.571,-21.705,9.102,16.765,-23.675,-10.802,27.017,-11.901,-5.107,-27.862,-182.45,-12.88,16.769,-24.699,-19.751,0
-14.878,-27.053,-180.547,-53.536,55.344,-20.088,-97.915,65.454,-23.095,-24.746,-12.956,-17.39,-22.947,-12.244,-3.118,-29.88,3.97,5.477,-33.385,-20.012,21.354,-17.012,-12.274,-45.765,-154.603,-25.163,10.604,-48.753,-26.904,0
-3.593,-31.637,-194.711,-49.384,57.85,-23.141,-91.669,67.951,-29.732,-33.43,-19.603,-19.421,-29.584,-18.891,-1.578,-34.973,-2.694,3.935,-36.938,-25.115,18.259,-27.241,-14.824,-53.404,-159.059,-30.773,4.446,-51.266,-38.66,0
-9.225,-31.093,-188.881,-53.946,43.447,-35.414,-58.79,46.366,-37.387,-46.204,-23.169,-20.427,-35.19,-14.262,-12.847,-39.549,-6.277,7.005,-33.827,-25.603,13.63,-28.239,-14.809,-48.74,-178.88,-32.791,0.343,-44.042,-41.183,0
-16.388,-29.013,-177.421,-57.478,43.916,-40.501,-31.066,32.487,-39.911,-42.572,-18.536,-17.332,-31.056,-4.001,-16.933,-37.973,-0.635,9.559,-29.182,-21.478,16.69,-15.403,-3.523,-34.859,-171.016,-24.562,3.929,-39.387,-42.166,0
-9.711,-18.225,-174.17,-37.953,61.291,-24.579,-63.31,50.898,-23.477,-25.623,-9.295,-8.606,-17.193,1.638,-0.01,-30.762,6.537,13.648,-18.395,-10.699,24.87,-3.604,11.85,-19.967,-159.575,-9.68,12.634,-27.053,-41.612,0
-6.628,-16.67,-181.168,-29.718,53.033,-17.895,-95.523,66.728,-14.232,-25.085,-10.311,-11.159,-17.176,-4.511,-0.522,-32.781,1.408,11.073,-14.79,-11.712,19.722,-6.162,7.739,-24.045,-150.706,-12.744,10.06,-23.952,-32.861,0
-11.232,-28.436,-189.184,-50.181,36.586,-24.537,-123.604,64.612,-22.927,-32.745,-15.936,-18.32,-23.819,-13.728,-19.477,-38.896,-4.229,3.377,-26.046,-22.971,13.555,-13.328,-1.49,-33.243,-146.969,-25.539,2.365,-37.248,-23.607,0
-12.245,-22.26,-176.699,-52.18,42.184,-16.828,-90.693,68.134,-17.781,-23.491,-7.723,-10.105,-13.036,-11.665,-13.31,-31.172,4.997,9.009,-23.459,-15.776,24.812,-7.68,7.733,-20.914,-166.802,-16.805,9.535,-35.674,-19.485,0
-8.647,-6.356,-153.469,-31.123,47.265,-6.565,-59.864,72.676,-5.98,-17.832,3.556,-2.922,-6.363,4.228,6.171,-21.92,15.75,22.32,-13.189,-3.465,28.886,-1.524,10.287,-15.77,-163.561,-7.054,19.772,-24.367,-17.928,0
-6.589,-13.522,-159.463,-25.456,45.681,-10.144,-92.079,70.042,-16.733,-27.548,0.478,-10.092,-18.652,10.371,2.579,-27.021,12.148,20.249,-23.422,-13.195,19.123,-8.695,-4.068,-37.784,-139.832,-20.879,14.117,-32.54,-23.033,0
-10.681,-22.73,-181.845,-34.652,47.685,-9.622,-120.164,72.021,-23.888,-30.082,-3.109,-13.155,-19.658,-7.57,-5.621,-31.092,4.964,9.47,-29.034,-19.842,22.69,-15.859,-5.089,-42.869,-168.893,-28.543,7.442,-36.093,-34.281,0
-12.719,-12.462,-179.614,-37.179,46.612,-7.563,-87.256,64.265,-11.057,-22.879,-0.032,-6.482,-6.831,-10.636,0.02,-24.913,8.545,13.047,-17.734,-8.039,29.328,-13.794,2.089,-25.408,-196.901,-17.244,12.558,-19.151,-40.907,0
-5.022,-8.351,-167.139,-34.581,54.25,-14.215,-54.381,47.294,-8.484,-20.295,2.53,-2.377,-4.775,17.039,10.779,-19.765,17.758,25.842,-13.618,-1.884,24.175,-7.12,1.574,-23.845,-163.917,-11.591,19.718,-15.033,-33.181,0
3.18,-12.953,-166.972,-30.448,66.492,-9.59,-86.602,58.518,-12.574,-16.689,8.675,1.211,-3.746,26.244,18.453,-17.696,20.814,28.377,-11.555,-0.345,26.2,0.06,7.721,-24.846,-142.748,-10.042,22.772,-24.752,-17.266,0
2.664,-13.452,-172.952,-30.929,57.204,0.153,-118.791,77.415,-9.488,-13.086,13.277,2.747,-1.18,8.287,12.286,-17.166,15.158,19.64,-6.42,1.705,30.272,1.084,14.373,-16.112,-174.881,-7.471,20.7,-28.314,-22.372,0
2.662,-17.537,-182.513,-40.632,49.462,-7.532,-85.884,64.53,-12.04,-17.171,5.067,-2.379,-6.302,4.18,-1.046,-20.735,8.483,13.985,-12.562,-4.957,25.119,-2.503,10.26,-16.608,-173.681,-11.562,16.068,-29.822,-46.941,0
7.782,-16.495,-183.355,-44.69,67.343,-10.086,-55.572,60.879,-8.954,-15.617,4.55,0.185,-3.734,8.274,8.177,-20.202,10.011,17.044,-13.061,-4.952,26.631,3.647,15.373,-10.956,-154.552,-6.427,20.151,-24.157,-40.234,0
6.75,-5.72,-170.364,-33.887,72.399,4.269,-87.792,85.409,3.35,-3.306,16.328,7.357,7.54,-3.517,22.513,-17.108,11.538,15.49,-5.364,3.25,32.752,12.353,22.017,1.35,-169.255,7.924,26.791,-12.35,-13.553,0
-5.552,-5.202,-169.682,-23.607,53.883,5.802,-97.438,89.422,-0.239,-4.327,15.287,0.178,2.41,-8.124,8.146,-20.165,4.867,6.766,-10.994,-3.926,27.596,4.656,11.237,-11.971,-157.815,2.793,23.178,-14.899,-26.348,0
-11.695,-9.296,-180.783,-28.706,52.805,-3.426,-64.553,67.816,-12.022,-14.569,4.514,-7.507,-7.839,2.642,-4.67,-24.756,-0.261,3.173,-21.229,-13.143,25.007,-4.57,4.053,-30.402,-124.869,-9.505,18.544,-20.519,-43.227,0
1.125,-3.139,-176.504,-37.899,65.047,-4.959,-31.701,56.989,-11.498,-14.042,9.12,0.185,-4.757,2.64,12.241,-24.219,0.251,1.633,-19.671,-4.933,29.593,0.557,9.685,-21.663,-137.552,-4.885,22.111,-10.253,-13.983,0
13.931,5.062,-168.13,-32.738,64.47,0.681,-63.945,64.105,-5.338,-2.757,21.918,6.845,2.932,-2.486,26.573,-14.973,5.886,1.631,-10.43,3.781,34.174,13.364,14.286,-6.272,-169.69,7.928,33.36,5.639,6.011,0
11.356,14.278,-160.277,-15.799,64.918,15.537,-96.156,86.582,2.352,8.004,28.556,10.424,13.175,5.201,22.961,-3.175,16.639,18.023,3.413,8.9,39.775,26.159,23.493,5.005,-175.668,20.727,43.573,16.392,-12.438,0
8.783,16.313,-149.871,-9.636,69.976,23.719,-124.749,99.815,6.448,6.971,25.966,10.926,15.211,8.27,17.302,-7.27,15.085,27.739,4.947,11.453,37.174,25.62,26.031,7.049,-148.852,20.707,38.919,7.666,-16.011,0
