Cz,Fz,Fp1,F3,C1,C3,T7,C5,CP5,CP3,CP1,P1,P3,O1,CPz,Pz,Oz,O2,P4,P2,CP2,CP4,CP6,C6,T8,C4,C2,F4,Fp2,Label
-15.878,-17.135,-108.527,18.363,-28.704,-18.786,336.3,-4.528,-18.381,-25.982,-32.33,-32.588,-32.784,-18.622,-26.472,-16.902,-16.602,-18.225,-40.965,-36.695,77.781,-37.25,-33.708,-42.973,-36.936,-42.466,-37.411,-42.004,-119.868,3
-22.01,-20.192,-106.882,12.709,-36.36,-23.378,303.689,-11.184,-19.899,-25.444,-32.81,-36.141,-30.702,-36.534,-37.204,-14.323,-27.856,-31.527,-38.875,-36.659,75.654,-32.601,-30.088,-36.782,-69.174,-39.862,-39.423,-33.765,-121.285,3
-16.848,-19.647,-123.567,-0.632,-32.2,-23.339,303.626,4.189,-18.845,-26.423,-29.168,-30.955,-27.579,-22.633,-27.92,-8.155,-13.979,-13.036,-32.66,-31.474,78.056,-28.448,-19.285,-19.822,-69.035,-31.599,-35.252,-34.733,-101.066,3
-21.93,-20.62,-110.513,10.132,-10.617,-19.695,303.499,-10.65,-16.749,-25.849,-26.027,-25.763,-26.488,-33.338,-22.73,-5.06,-15.992,-17.61,-29.001,-27.304,83.027,-26.333,-21.796,-22.848,-76.551,-28.454,-33.638,-37.211,-116.235,3
-32.132,-25.2,-130.269,-3.726,-41.844,-20.181,303.437,-2.969,-16.722,-22.734,-30.08,-31.353,-25.932,-18.425,-31.405,1.088,-8.285,-11.436,-28.439,-30.329,71.592,-27.825,-16.641,-25.878,-71.308,-33.014,-34.602,-34.077,-126.24,3
-24.895,-28.213,-106.962,1.925,-29.462,-23.718,303.31,-11.653,-18.735,-30.364,-33.088,-31.8,-29.973,-31.19,-28.26,-4.031,-16.973,-17.047,-31.452,-32.315,70.938,-32.885,-26.843,-24.292,-75.744,-33.456,-37.601,-40.655,-102.943,3
-23.313,-21.502,-133.89,9.598,-26.335,-15.99,300.658,-2.416,-9.479,-19.55,-22.779,-28.66,-20.693,-23.445,-25.646,3.658,-14.377,-28.785,-24.73,-26.616,75.918,-18.994,-12.453,-22.702,-55.133,-26.732,-30.357,-22.146,-132.948,3
-25.851,-23.53,-121.461,9.588,-28.87,-11.875,268.082,5.271,-6.908,-15.432,-18.658,-22.996,-15.55,-24.959,-24.083,9.29,-12.313,-15.436,-23.68,-24.028,74.818,-18.463,-12.441,-15.507,-66.349,-26.193,-29.814,-33.395,-104.638,3
-16.091,-20.945,-97.261,7.017,-28.329,-9.814,283.183,6.803,-6.389,-13.88,-19.152,-24.51,-15.022,-20.323,-20.985,13.891,-7.69,-4.15,-24.169,-21.955,72.182,-17.42,-12.428,-14.979,-60.135,-26.167,-28.76,-42.07,-81.992,3
-12.489,-18.875,-106.385,5.473,-24.714,-14.415,315.688,-5.499,-8.431,-17.964,-22.206,-28.071,-18.593,-12.618,-24.55,10.291,-9.219,-14.904,-24.657,-24.494,71.597,-15.865,-13.441,-13.94,-72.37,-21.53,-27.194,-34.344,-110.087,3
-29.382,-31.664,-138.554,0.345,-37.497,-34.893,342.012,-30.597,-23.792,-33.828,-35.504,-39.314,-31.382,-27.462,-40.92,-2.014,-24.067,-36.919,-36.928,-39.327,60.767,-29.682,-24.698,-24.172,-94.327,-28.68,-37.413,-32.26,-140.715,3
-31.915,-38.804,-137.904,-11.951,-47.706,-42.031,309.395,-34.152,-29.916,-38.917,-42.641,-40.812,-33.912,-35.119,-47.026,-3.037,-20.969,-28.685,-39.965,-39.287,57.12,-36.312,-28.772,-36.955,-78.863,-39.923,-40.962,-40.937,-127.767,3
-12.927,-19.81,-104.978,-9.89,-26.141,-11.762,276.81,-1.331,-4.783,-12.751,-20.569,-18.229,-9.8,-4.858,-22.389,16.434,5.179,2.594,-13.797,-17.219,76.018,-14.247,-11.837,-26.16,-45.997,-24.513,-24.015,-28.089,-101.511,3
-14.451,-8.007,-101.287,3.952,-7.672,7.205,267.312,21.725,11.615,3.656,-4.667,-12.576,3.53,6.417,-6.997,26.151,8.76,1.055,-2,-11.566,81.578,-5.523,-2.091,-13.326,-50.049,-6.558,-17.843,-8.593,-109.094,3
-26.732,-18.246,-124.239,8.047,-22.521,-11.758,299.832,-8.523,-3.253,-14.279,-19.007,-28.957,-12.355,-15.618,-24.408,13.83,-3.544,-15.852,-17.368,-22.825,64.078,-17.813,-10.798,-20.485,-77.151,-15.773,-29.096,-14.732,-127.941,3
-14.922,-13.616,-114.894,12.649,-30.183,-15.844,332.32,-17.736,-6.836,-15.289,-20.012,-24.317,-15.416,-6.893,-27.458,11.254,6.194,-1.492,-15.301,-19.216,64.526,-14.209,-10.275,-16.878,-65.804,-18.831,-24.968,-17.791,-107.833,3
-0.563,0.229,-97.36,19.297,-9.661,3.639,299.712,10.971,7.515,3.682,-3.599,-13.022,-3.106,14.118,-8.475,21.489,14.384,7.731,-5.552,-11,76.757,-6.51,-3.093,-4.054,-49.856,-8.566,-13.16,-11.625,-74.937,3
-5.173,-6.943,-111.095,10.056,-1.454,3.635,274.822,9.423,4.946,-2.47,-8.206,-22.231,-6.689,-2.29,-12.053,17.882,1.562,-12.769,-16.305,-16.625,68.483,-15.725,-9.237,-13.784,-70.299,-15.218,-19.295,-22.885,-87.158,3
