timestamp,Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2
1970-01-02 10:05:44.261827,-40.297,13.935,78.182,32.758,-13.657,-3.567,-40.083,0.32,3.854,32.424,3.848,-0.587,-0.986,10.381,-4.532,10.406,-13.039,-7.071,-9.132,-10.093,1.099,-10.58,-13.151,3.143,-1.15,-4.481,3.803,14.795,-7.01,-9.96,-10.269,3.037
1970-01-02 10:05:44.261901,-40.257,10.335,77.591,36.311,-10.57,-2.026,-24.674,-6.34,6.412,16.51,7.943,2.487,1.576,11.396,-4.527,11.42,-12.514,-9.625,-11.172,-10.595,3.147,-13.131,-10.064,3.14,0.388,-9.6,6.361,9.658,-5.978,-11.999,-8.721,4.059
1970-01-02 10:05:44.275620,-42.778,8.788,87.76,38.837,-23.367,0.025,-27.211,-22.216,17.164,15.981,6.398,1.46,-0.475,10.872,-2.473,14.482,-16.087,-6.542,-8.599,-4.437,9.291,-12.606,-7.492,4.673,-4.223,-12.152,2.256,5.549,-3.923,-9.426,-11.274,-0.556
1970-01-02 10:05:44.275687,-40.174,15.439,104.066,43.921,-49.984,-2.024,-36.405,-44.735,32.004,24.162,0.756,-0.078,-3.548,9.836,0.091,21.128,-16.583,-4.998,-8.078,-1.871,6.208,-14.13,-9.022,5.181,-7.293,-13.677,-2.357,9.13,-5.456,-5.83,-11.263,-3.629
1970-01-02 10:05:44.291015,-37.06,16.448,114.72,46.439,-69.401,1.564,-28.684,-67.232,45.804,23.625,5.366,0.434,-2.008,11.363,-0.422,25.205,-11.956,-5.506,-9.607,-6.48,5.177,-12.067,-9.013,5.176,-4.724,-17.249,0.719,10.145,-5.451,-7.361,-7.666,1.498
1970-01-02 10:05:44.291087,-38.56,11.821,113.069,42.294,-60.623,2.587,-13.286,-85.608,56.516,20.016,4.848,0.434,0.556,10.84,-0.421,23.643,-15.018,-3.963,-9.085,-6.986,9.271,-5.907,-10.028,6.195,2.965,-14.67,4.817,8.598,-6.47,-9.403,-8.683,3.033
1970-01-02 10:05:44.305683,-40.058,11.297,99.636,41.739,-33.41,-3.563,-8.662,-100.379,64.145,23.069,-0.792,0.433,1.068,6.731,-0.421,19.521,-20.126,-4.984,-9.076,-5.442,4.651,-6.413,-13.605,4.14,4.499,-10.557,4.3,9.102,-7.488,-8.882,-11.748,-3.63
1970-01-02 10:05:44.305756,-38.993,8.212,81.093,44.259,-10.322,-3.56,-11.728,-103.865,68.691,25.096,4.844,1.457,2.604,8.261,-4.007,10.792,-16.007,-9.59,-10.092,-6.973,0.035,-9.481,-13.079,1.062,-3.19,-10.034,5.32,10.63,-4.407,-9.385,-12.248,-4.139
1970-01-02 10:05:44.321961,-38.442,5.642,71.79,40.628,1.983,-2.531,-22.474,-95.052,66.061,23.534,8.426,1.456,2.601,13.376,-3.49,4.121,-15.479,-9.068,-8.032,-9.528,5.158,-8.959,-13.066,4.135,-10.359,-6.951,5.315,10.619,-2.865,-10.912,-11.724,2.013
1970-01-02 10:05:44.335673,-38.916,12.809,75.817,32.391,1.469,-6.627,-37.821,-79.587,58.31,28.121,3.294,0.43,2.086,11.313,1.124,7.703,-20.587,-4.96,-8.024,-8.494,8.227,-9.462,-12.54,8.229,-16.496,-4.894,2.236,8.559,-5.936,-9.365,-11.2,2.011
1970-01-02 10:05:44.335758,-38.877,15.357,87.524,29.285,-14.926,-5.084,-49.054,-60.04,48.006,36.29,4.828,-0.595,2.084,8.74,2.147,14.356,-16.98,-7.004,-8.016,-4.899,5.145,-9.965,-9.454,7.196,-17.504,-11.037,2.746,5.989,-9.517,-6.794,-10.676,-2.602
1970-01-02 10:05:44.350711,-39.863,8.682,99.732,33.354,-34.891,-4.054,-50.542,-36.414,32.076,33.179,5.335,-1.619,0.033,11.805,-0.929,17.415,-14.401,-8.534,-5.959,-6.944,4.627,-8.418,-12.518,5.14,-9.29,-15.637,3.255,7.52,-10.532,-7.812,-9.641,-5.161
1970-01-02 10:05:44.350780,-39.311,8.673,104.243,35.882,-43.053,-8.148,-40.245,-16.91,12.064,20.851,1.231,-1.105,-0.992,11.793,-2.977,19.447,-17.461,-5.964,-8.002,-12.572,7.184,-7.898,-17.116,2.573,-4.67,-15.109,0.178,9.05,-7.447,-10.365,-8.094,-7.205
1970-01-02 10:05:44.365633,-38.247,12.251,95.43,31.235,-37.375,-6.603,-28.934,-8.184,1.294,19.293,3.279,0.945,0.546,9.22,-0.412,18.403,-14.882,-7.495,-9.531,-11.535,8.202,-7.89,-13.513,0.521,-9.788,-13.557,0.178,6.991,-4.878,-10.355,-5.525,-4.636
1970-01-02 10:05:44.365708,-38.721,12.238,82.014,27.618,-21.968,-5.06,-30.954,-4.077,1.292,28.495,6.35,0.432,2.082,10.748,3.174,12.237,-15.379,-10.562,-4.911,-7.937,7.169,-8.906,-10.426,2.57,-11.828,-8.933,0.69,9.034,-4.361,-8.808,-8.081,0.492
1970-01-02 10:05:44.380574,-38.17,12.739,76.297,30.664,-12.725,-4.542,-35.022,-4.585,3.853,27.955,3.27,-2.642,1.568,12.274,2.146,10.175,-19.975,-6.453,-4.906,-7.929,6.649,-11.459,-12.977,4.104,-13.353,-4.825,-0.847,11.586,-3.332,-7.774,-13.196,1.516
1970-01-02 10:05:44.382390,-37.107,13.238,83.393,33.707,-29.106,0.585,-30.376,-18.925,9.996,17.68,3.779,-2.128,-3.044,10.725,1.632,15.288,-13.807,-3.372,-6.95,-6.897,6.13,-11.448,-12.964,1.539,-18.975,-7.382,-1.359,8.501,-3.329,-10.328,-14.207,6.125
1970-01-02 10:05:44.395749,-39.631,13.737,101.753,39.309,-59.303,1.097,-22.661,-43.497,24.843,13.052,4.8,-0.076,-3.554,9.177,3.679,21.421,-11.232,-5.93,-4.894,-5.865,4.587,-8.362,-12.951,1.537,-17.931,-10.961,-0.845,7.98,-6.912,-11.342,-11.119,8.681
1970-01-02 10:05:44.395815,-41.129,16.797,115.483,45.417,-70.002,-2.49,-8.806,-66.507,41.212,19.187,3.258,-0.076,0.036,9.168,-1.96,26.522,-18.393,-7.461,-6.938,-6.884,4.07,-6.305,-15.5,3.585,-11.253,-12.999,1.205,11.046,-7.929,-9.794,-9.059,-1.574
1970-01-02 10:05:44.411758,-40.063,14.219,105.122,41.786,-54.051,-3.0,4.523,-84.372,53.979,24.803,4.792,0.949,-0.989,10.183,-7.593,27.008,-17.35,-6.942,-9.493,-4.315,5.091,-7.323,-14.459,3.069,-5.607,-15.548,3.765,8.986,-7.409,-10.297,-8.025,-6.696
1970-01-02 10:05:44.411827,-40.535,9.082,80.938,34.572,-21.721,-5.559,2.981,-98.632,65.196,19.655,4.787,4.534,-2.012,10.685,-0.925,16.735,-11.697,-5.398,-6.41,-0.725,4.574,-9.877,-11.883,3.066,-5.601,-15.02,1.712,5.903,-8.939,-11.311,-6.992,-1.566
1970-01-02 10:05:44.425667,-42.032,11.122,64.975,33.0,8.527,-8.115,-8.293,-102.119,72.303,14.512,2.733,3.505,2.601,12.212,2.662,5.447,-16.296,-4.88,-7.428,-4.823,4.569,-10.38,-12.384,4.087,-15.842,-10.906,-1.363,6.921,-9.442,-9.763,-9.547,-1.052
1970-01-02 10:05:44.425721,-40.965,14.185,65.423,34.504,12.617,-3.496,-24.166,-92.283,71.206,28.842,5.292,1.452,1.061,13.736,-1.439,5.954,-17.817,-6.924,-10.494,-7.379,5.077,-9.345,-11.859,3.571,-22.486,-5.26,1.2,8.451,-5.334,-10.777,-13.124,-0.539
