timestamp,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
1970-01-14 10:01:09.240621,4198.077,4191.154,4238.718,4233.462,4247.436,4104.872,4162.949,4185.513,4203.462,4145.513,4543.846,4325.0,4358.718,4468.974
1970-01-14 10:01:09.240661,4195.256,4180.513,4234.103,4231.154,4238.718,4102.564,4160.513,4180.128,4202.051,4142.051,4535.513,4319.487,4353.462,4460.513
1970-01-14 10:01:09.240689,4195.128,4177.436,4233.974,4232.179,4225.769,4102.564,4162.821,4177.692,4203.718,4142.564,4532.564,4318.205,4352.308,4456.154
1970-01-14 10:01:09.240716,4196.154,4182.179,4236.538,4234.359,4217.949,4103.59,4167.436,4178.59,4206.282,4145.641,4534.487,4319.231,4354.231,4456.923
1970-01-14 10:01:09.255709,4197.436,4190.256,4239.103,4235.641,4223.462,4104.487,4171.41,4181.923,4207.821,4149.103,4538.462,4321.026,4357.821,4461.923
1970-01-14 10:01:09.255757,4199.487,4196.41,4240.897,4236.538,4241.41,4105.385,4173.718,4186.667,4208.59,4151.795,4542.436,4323.59,4362.564,4469.231
1970-01-14 10:01:09.255785,4202.051,4197.179,4242.051,4238.59,4259.744,4107.051,4174.231,4191.41,4209.615,4154.103,4545.641,4327.051,4368.205,4475.897
1970-01-14 10:01:09.271576,4202.564,4192.564,4242.179,4241.41,4263.333,4107.949,4172.308,4193.462,4210.385,4155.0,4546.026,4329.231,4371.667,4478.59
1970-01-14 10:01:09.271624,4198.333,4185.128,4240.128,4242.564,4247.051,4106.41,4167.564,4190.897,4209.744,4152.692,4541.923,4327.308,4369.231,4474.615
1970-01-14 10:01:09.271653,4190.256,4179.103,4236.41,4239.615,4220.641,4102.051,4161.154,4184.359,4207.436,4146.795,4534.615,4321.795,4360.513,4464.872
1970-01-14 10:01:09.285773,4183.59,4178.718,4233.077,4234.231,4202.564,4097.179,4156.667,4177.949,4205.0,4140.641,4528.59,4316.795,4350.769,4455.385
1970-01-14 10:01:09.285819,4183.462,4185.256,4232.949,4231.154,4204.744,4095.128,4157.051,4176.026,4203.718,4138.718,4528.462,4316.154,4347.179,4453.077
1970-01-14 10:01:09.285846,4190.641,4195.513,4236.667,4233.974,4223.333,4097.051,4162.179,4180.128,4204.359,4142.949,4535.0,4320.641,4352.179,4460.256
1970-01-14 10:01:09.285871,4200.128,4203.718,4242.308,4241.538,4244.359,4101.41,4168.333,4186.282,4205.641,4150.385,4543.718,4327.564,4361.41,4471.923
1970-01-14 10:01:09.285898,4206.154,4205.513,4246.538,4248.718,4255.897,4105.128,4171.41,4189.103,4206.282,4155.897,4548.974,4332.436,4367.308,4480.0
1970-01-14 10:01:09.300839,4206.154,4201.282,4246.282,4251.154,4255.769,4107.051,4170.513,4186.026,4205.641,4156.41,4547.949,4332.179,4366.41,4479.615
1970-01-14 10:01:09.300886,4202.051,4194.615,4241.667,4248.333,4248.718,4107.949,4167.692,4179.103,4204.872,4153.333,4542.564,4326.795,4361.154,4472.051
